ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
203505_at	0.107	0.0592	1.91	-5.63876	0.235	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1	FALSE
220159_at	0.00566	0.00219	3.15	-2.691203	0.228	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	FALSE
215465_at	2.83e-08	4.23e-09	-6.5	10.025098	-0.931	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12	FALSE
1553605_a_at	1.4e-07	2.35e-08	-6.12	8.340378	-1.41	ABCA13	ATP binding cassette subfamily A member 13	ABCA13	ATP binding cassette subfamily A member 13	FALSE
231164_at	0.0194	0.00854	-2.69	-3.938771	-0.355	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	FALSE
210099_at	0.00995	0.00407	-2.95	-3.262319	-0.109	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2	FALSE
204343_at	4.25e-27	2.27e-29	16.6	56.39468	2.58	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3	FALSE
210082_at	0.00127	0.000429	-3.66	-1.162208	-0.5	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4	FALSE
241705_at	0.711	0.612	0.509	-7.311371	0.0267	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5	FALSE
217504_at	3.52e-23	4.17e-25	14.3	46.629155	1.44	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6	FALSE
219577_s_at	2.49e-06	5.13e-07	5.41	5.321823	0.543	ABCA7	ATP binding cassette subfamily A member 7	ABCA7	ATP binding cassette subfamily A member 7	FALSE
204719_at	8.15e-36	7e-39	22.4	78.097489	4.25	ABCA8	ATP binding cassette subfamily A member 8	ABCA8	ATP binding cassette subfamily A member 8	FALSE
242541_at	1.55e-13	9.83e-15	9.24	22.864025	0.781	ABCA9	ATP binding cassette subfamily A member 9	ABCA9	ATP binding cassette subfamily A member 9	FALSE
209993_at	8.1e-13	5.83e-14	8.87	21.097204	1.66	ABCB1	ATP binding cassette subfamily B member 1	ABCB1	ATP binding cassette subfamily B member 1	FALSE
223320_s_at	0.587	0.473	-0.72	-7.181128	-0.074	ABCB10	ATP binding cassette subfamily B member 10	ABCB10	ATP binding cassette subfamily B member 10	FALSE
211224_s_at	0.373	0.266	-1.12	-6.813525	-0.0416	ABCB11	ATP binding cassette subfamily B member 11	ABCB11	ATP binding cassette subfamily B member 11	FALSE
207819_s_at	0.00273	0.000984	-3.41	-1.943011	-0.332	ABCB4	ATP binding cassette subfamily B member 4	ABCB4	ATP binding cassette subfamily B member 4	FALSE
243167_at	0.0193	0.00852	2.69	-3.935936	0.118	ABCB5	ATP binding cassette subfamily B member 5	ABCB5	ATP binding cassette subfamily B member 5	FALSE
203192_at	1.43e-20	2.59e-22	-12.9	40.227914	-1.87	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	FALSE
209620_s_at	0.289	0.193	-1.31	-6.583029	-0.0962	ABCB7	ATP binding cassette subfamily B member 7	ABCB7	ATP binding cassette subfamily B member 7	FALSE
206317_s_at	0.00204	0.000714	-3.5	-1.642453	-0.257	ABCB8	ATP binding cassette subfamily B member 8	ABCB8	ATP binding cassette subfamily B member 8	FALSE
207561_s_at	0.779	0.696	0.392	-7.364142	0.0153	ABCB8///ASIC3	ATP binding cassette subfamily B member 8///acid sensing ion channel subunit 3	ASIC3	acid sensing ion channel subunit 3	FALSE
214209_s_at	2.63e-06	5.45e-07	-5.39	5.263939	-0.487	ABCB9	ATP binding cassette subfamily B member 9	ABCB9	ATP binding cassette subfamily B member 9	FALSE
202805_s_at	4e-08	6.14e-09	-6.42	9.658879	-1.36	ABCC1	ATP binding cassette subfamily C member 1	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	FALSE
215873_x_at	3.24e-05	8.11e-06	-4.73	2.639811	-0.53	ABCC10	ATP binding cassette subfamily C member 10	ABCC10	ATP binding cassette subfamily C member 10	FALSE
224146_s_at	0.445	0.33	0.979	-6.961595	0.0319	ABCC11	ATP binding cassette subfamily C member 11	ABCC11	ATP binding cassette subfamily C member 11	FALSE
1553410_a_at	0.383	0.274	1.1	-6.834916	0.0376	ABCC12	ATP binding cassette subfamily C member 12	ABCC12	ATP binding cassette subfamily C member 12	FALSE
233371_at	1.22e-08	1.73e-09	6.69	10.907969	0.447	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	FALSE
206155_at	0.177	0.107	-1.63	-6.126278	-0.144	ABCC2	ATP binding cassette subfamily C member 2	ABCC2	ATP binding cassette subfamily C member 2	FALSE
209641_s_at	0.00934	0.0038	-2.97	-3.198253	-0.621	ABCC3	ATP binding cassette subfamily C member 3	ABCC3	ATP binding cassette subfamily C member 3	FALSE
1554918_a_at	0.197	0.122	-1.56	-6.229468	-0.204	ABCC4	ATP binding cassette subfamily C member 4	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	FALSE
209380_s_at	1.76e-14	9.52e-16	-9.72	25.183619	-1.99	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	ATP binding cassette subfamily C member 5	FALSE
236205_at	2.76e-05	6.83e-06	4.77	2.805229	0.245	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	FALSE
210246_s_at	0.712	0.613	0.507	-7.312147	0.0364	ABCC8	ATP binding cassette subfamily C member 8	ABCC8	ATP binding cassette subfamily C member 8	FALSE
1557374_at	0.000192	5.52e-05	4.23	0.79233	0.25	ABCC9	ATP binding cassette subfamily C member 9	ABCC9	ATP binding cassette subfamily C member 9	FALSE
205142_x_at	0.0588	0.0299	-2.21	-5.053219	-0.152	ABCD1	ATP binding cassette subfamily D member 1	ABCD1	ATP binding cassette subfamily D member 1	FALSE
207583_at	0.812	0.738	-0.336	-7.384715	-0.00899	ABCD2	ATP binding cassette subfamily D member 2	ABCD2	ATP binding cassette subfamily D member 2	FALSE
1554878_a_at	9.89e-05	2.7e-05	-4.42	1.477849	-0.805	ABCD3	ATP binding cassette subfamily D member 3	ABCD3	ATP binding cassette subfamily D member 3	FALSE
203981_s_at	5.4e-05	1.41e-05	4.59	2.108515	0.363	ABCD4	ATP binding cassette subfamily D member 4	ABCD4	ATP binding cassette subfamily D member 4	FALSE
201872_s_at	1.11e-12	8.18e-14	-8.8	20.760272	-0.849	ABCE1	ATP binding cassette subfamily E member 1	ABCE1	ATP binding cassette subfamily E member 1	FALSE
200045_at	2.69e-08	4e-09	-6.51	10.079946	-0.513	ABCF1	ATP binding cassette subfamily F member 1	ABCF1	ATP binding cassette subfamily F member 1	FALSE
207622_s_at	6.3e-12	5.27e-13	-8.41	18.9121	-0.871	ABCF2	ATP binding cassette subfamily F member 2	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	FALSE
202394_s_at	9.75e-14	5.98e-15	-9.34	23.357394	-0.805	ABCF3	ATP binding cassette subfamily F member 3	ABCF3	ATP binding cassette subfamily F member 3	FALSE
230913_at	4.5e-10	5.06e-11	7.45	14.391569	1.36	ABCG1	ATP binding cassette subfamily G member 1	ABCG1	ATP binding cassette subfamily G member 1	FALSE
209735_at	3.53e-20	6.86e-22	12.7	39.257113	1.84	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	FALSE
207593_at	0.112	0.0628	-1.88	-5.688085	-0.0636	ABCG4	ATP binding cassette subfamily G member 4	ABCG4	ATP binding cassette subfamily G member 4	FALSE
220383_at	0.583	0.469	0.727	-7.176371	0.0266	ABCG5	ATP binding cassette subfamily G member 5	ABCG5	ATP binding cassette subfamily G member 5	FALSE
231751_at	0.193	0.119	-1.57	-6.210831	-0.0719	ABCG8	ATP binding cassette subfamily G member 8	ABCG8	ATP binding cassette subfamily G member 8	FALSE
1560117_at	0.00344	0.00127	-3.33	-2.18032	-0.113	ABHD1	abhydrolase domain containing 1	ABHD1	abhydrolase domain containing 1	FALSE
222697_s_at	3.29e-10	3.62e-11	-7.52	14.724117	-0.9	ABHD10	abhydrolase domain containing 10	ABHD10	abhydrolase domain containing 10, depalmitoylase	FALSE
221927_s_at	1.6e-07	2.72e-08	-6.08	8.197538	-0.659	ABHD11	abhydrolase domain containing 11	ABHD11	abhydrolase domain containing 11	FALSE
228123_s_at	0.0111	0.00458	-2.91	-3.370137	-0.295	ABHD12	abhydrolase domain containing 12	ABHD12	abhydrolase domain containing 12, lysophospholipase	FALSE
235348_at	5.53e-13	3.88e-14	8.95	21.499527	0.698	ABHD13	abhydrolase domain containing 13	ABHD13	abhydrolase domain containing 13	FALSE
202740_at	0.00387	0.00144	-3.29	-2.299954	-0.363	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1	ACY1	aminoacylase 1	FALSE
210006_at	1.86e-10	1.97e-11	7.65	15.325999	0.816	ABHD14A///ACY1	abhydrolase domain containing 14A///aminoacylase 1	ABHD14A	abhydrolase domain containing 14A	FALSE
224821_at	0.000212	6.15e-05	4.2	0.688234	0.47	ABHD14B	abhydrolase domain containing 14B	ABHD14B	abhydrolase domain containing 14B	FALSE
226796_at	0.0333	0.0157	-2.46	-4.483738	-0.271	ABHD15	abhydrolase domain containing 15	ABHD15	abhydrolase domain containing 15	FALSE
224756_s_at	0.269	0.177	1.36	-6.51933	0.109	ABHD16A	abhydrolase domain containing 16A	ABHD16A	abhydrolase domain containing 16A, phospholipase	FALSE
234002_at	0.25	0.162	-1.41	-6.450502	-0.0664	ABHD16B	abhydrolase domain containing 16B	ABHD16B	abhydrolase domain containing 16B	FALSE
221267_s_at	2.05e-07	3.53e-08	6.02	7.939999	0.357	ABHD17A	abhydrolase domain containing 17A	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	FALSE
220285_at	0.00587	0.00228	-3.14	-2.72716	-0.457	ABHD17B	abhydrolase domain containing 17B	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	FALSE
225436_at	0.00127	0.000429	-3.66	-1.161216	-0.56	ABHD17C	abhydrolase domain containing 17C	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FALSE
241968_at	0.0042	0.00158	3.26	-2.385511	0.25	ABHD18	abhydrolase domain containing 18	ABHD18	abhydrolase domain containing 18	FALSE
63825_at	1.27e-06	2.49e-07	5.58	6.026462	0.734	ABHD2	abhydrolase domain containing 2	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	FALSE
213017_at	0.0146	0.00621	-2.8	-3.649656	-0.272	ABHD3	abhydrolase domain containing 3	ABHD3	abhydrolase domain containing 3, phospholipase	FALSE
218581_at	1.92e-06	3.88e-07	-5.47	5.595856	-0.513	ABHD4	abhydrolase domain containing 4	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	FALSE
213935_at	9.97e-19	2.49e-20	11.9	35.683354	1.06	ABHD5	abhydrolase domain containing 5	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	FALSE
45288_at	5.14e-16	2.1e-17	10.5	28.978039	1	ABHD6	abhydrolase domain containing 6	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	FALSE
219101_x_at	0.668	0.563	0.58	-7.272254	0.042	ABHD8	abhydrolase domain containing 8	ABHD8	abhydrolase domain containing 8	FALSE
209027_s_at	5.14e-05	1.33e-05	-4.6	2.159606	-0.455	ABI1	abl interactor 1	ABI1	abl interactor 1	FALSE
225098_at	2.73e-10	2.97e-11	7.57	14.91987	0.924	ABI2	abl-interactor 2	ABI2	abl interactor 2	FALSE
223615_at	1.63e-06	3.24e-07	5.51	5.771398	0.359	ABI3	ABI family member 3	ABI3	ABI family member 3	FALSE
223395_at	6.59e-24	6.68e-26	14.8	48.452966	3.29	ABI3BP	ABI family member 3 binding protein	ABI3BP	ABI family member 3 binding protein	FALSE
202123_s_at	0.0641	0.0329	2.17	-5.137506	0.185	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	FALSE
206411_s_at	0.0214	0.00954	-2.65	-4.038401	-0.213	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	FALSE
200965_s_at	1.57e-07	2.66e-08	6.09	8.219169	0.948	ABLIM1	actin binding LIM protein 1	ABLIM1	actin binding LIM protein 1	FALSE
242624_at	0.0118	0.0049	-2.88	-3.433347	-0.118	ABLIM2	actin binding LIM protein family member 2	ABLIM2	actin binding LIM protein family member 2	FALSE
205730_s_at	1.91e-18	5.03e-20	11.8	34.981292	1.46	ABLIM3	actin binding LIM protein family member 3	ABLIM3	actin binding LIM protein family member 3	FALSE
216929_x_at	0.302	0.204	-1.28	-6.625282	-0.14	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	FALSE
212895_s_at	4.28e-09	5.6e-10	6.94	12.01913	0.647	ABR	active BCR-related	ABR	ABR activator of RhoGEF and GTPase	FALSE
1552732_at	0.616	0.505	0.67	-7.21599	0.0175	ABRA	actin binding Rho activating protein	ABRA	actin binding Rho activating protein	FALSE
223361_at	4.31e-09	5.64e-10	-6.94	12.011715	-0.789	ABRACL	ABRA C-terminal like	ABRACL	ABRA C-terminal like	FALSE
218405_at	0.000459	0.000142	-3.97	-0.110265	-0.304	ABT1	activator of basal transcription 1	ABT1	activator of basal transcription 1	FALSE
229164_s_at	2e-19	4.42e-21	12.3	37.402809	0.823	ABTB1	ankyrin repeat and BTB domain containing 1	ABTB1	ankyrin repeat and BTB domain containing 1	FALSE
213497_at	1.37e-08	1.95e-09	-6.67	10.790729	-0.467	ABTB2	ankyrin repeat and BTB domain containing 2	ABTB2	ankyrin repeat and BTB domain containing 2	FALSE
214274_s_at	8.02e-12	6.81e-13	8.36	18.657618	0.692	ACAA1	acetyl-CoA acyltransferase 1	ACAA1	acetyl-CoA acyltransferase 1	FALSE
202003_s_at	4.54e-12	3.72e-13	8.48	19.256915	1.18	ACAA2	acetyl-CoA acyltransferase 2	ACAA2	acetyl-CoA acyltransferase 2	FALSE
214358_at	0.000172	4.91e-05	-4.26	0.903541	-0.528	ACACA	acetyl-CoA carboxylase alpha	ACACA	acetyl-CoA carboxylase alpha	FALSE
49452_at	2.91e-27	1.51e-29	16.7	56.802428	2.15	ACACB	acetyl-CoA carboxylase beta	ACACB	acetyl-CoA carboxylase beta	FALSE
238655_at	0.0628	0.0322	-2.17	-5.118479	-0.133	ACAD10	acyl-CoA dehydrogenase family member 10	ACAD10	acyl-CoA dehydrogenase family member 10	FALSE
221669_s_at	0.53	0.415	0.819	-7.104461	0.112	ACAD8	acyl-CoA dehydrogenase family member 8	ACAD8	acyl-CoA dehydrogenase family member 8	FALSE
224160_s_at	6.88e-10	7.99e-11	-7.36	13.940867	-0.498	ACAD9	acyl-CoA dehydrogenase family member 9	ACAD9	acyl-CoA dehydrogenase family member 9	FALSE
206068_s_at	1.16e-31	2.44e-34	19.5	67.750746	3.17	ACADL	acyl-CoA dehydrogenase, long chain	ACADL	acyl-CoA dehydrogenase long chain	FALSE
202502_at	1.51e-07	2.55e-08	6.1	8.259523	0.5	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ACADM	acyl-CoA dehydrogenase medium chain	FALSE
202366_at	7e-04	0.000224	3.84	-0.544966	0.238	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	ACADS	acyl-CoA dehydrogenase short chain	FALSE
226030_at	5.9e-10	6.77e-11	7.39	14.104956	1.05	ACADSB	acyl-CoA dehydrogenase, short/branched chain	ACADSB	acyl-CoA dehydrogenase short/branched chain	FALSE
200710_at	3.37e-07	6.02e-08	5.9	7.417142	0.495	ACADVL	acyl-CoA dehydrogenase, very long chain	ACADVL	acyl-CoA dehydrogenase very long chain	FALSE
205679_x_at	0.00785	0.00314	-3.03	-3.021771	-0.382	ACAN	aggrecan	ACAN	aggrecan	FALSE
242081_at	2.88e-05	7.14e-06	4.76	2.762333	0.268	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	FALSE
1552472_a_at	1.1e-07	1.82e-08	-6.17	8.59008	-1.11	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	FALSE
225542_at	0.000128	3.58e-05	-4.35	1.207303	-0.339	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	FALSE
205412_at	2.21e-11	2.01e-12	8.13	17.583924	0.842	ACAT1	acetyl-CoA acetyltransferase 1	ACAT1	acetyl-CoA acetyltransferase 1	FALSE
209608_s_at	0.00016	4.54e-05	-4.28	0.979147	-0.608	ACAT2	acetyl-CoA acetyltransferase 2	ACAT2	acetyl-CoA acetyltransferase 2	FALSE
202323_s_at	6.29e-05	1.66e-05	-4.55	1.949007	-0.666	ACBD3	acyl-CoA binding domain containing 3	ACBD3	acyl-CoA binding domain containing 3	FALSE
219413_at	6.67e-07	1.25e-07	5.74	6.703683	0.393	ACBD4	acyl-CoA binding domain containing 4	ACBD4	acyl-CoA binding domain containing 4	FALSE
1568877_a_at	0.000283	8.42e-05	-4.12	0.387673	-0.341	ACBD5	acyl-CoA binding domain containing 5	ACBD5	acyl-CoA binding domain containing 5	FALSE
225317_at	4.65e-10	5.24e-11	-7.45	14.35738	-0.523	ACBD6	acyl-CoA binding domain containing 6	ACBD6	acyl-CoA binding domain containing 6	FALSE
228264_at	5.09e-15	2.5e-16	10	26.511259	1.1	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	FALSE
204617_s_at	0.322	0.221	-1.23	-6.682682	-0.0997	ACD	adrenocortical dysplasia homolog	ACD	ACD shelterin complex subunit and telomerase recruitment factor	FALSE
227463_at	6.82e-17	2.4e-18	11	31.136278	1.69	ACE	angiotensin I converting enzyme	ACE	angiotensin I converting enzyme	FALSE
219962_at	0.00132	0.000447	-3.64	-1.200317	-0.597	ACE2	angiotensin I converting enzyme 2	ACE2	angiotensin converting enzyme 2	FALSE
1553929_at	0.976	0.965	-0.0443	-7.440539	-0.00192	ACER1	alkaline ceramidase 1	ACER1	alkaline ceramidase 1	FALSE
227306_at	0.963	0.945	-0.069	-7.439128	-0.00724	ACER2	alkaline ceramidase 2	ACER2	alkaline ceramidase 2	FALSE
227776_at	2.63e-11	2.42e-12	8.09	17.40257	0.959	ACER3	alkaline ceramidase 3	ACER3	alkaline ceramidase 3	FALSE
205378_s_at	0.418	0.305	-1.03	-6.908902	-0.141	ACHE	acetylcholinesterase (Cartwright blood group)	ACHE	acetylcholinesterase (Yt blood group)	FALSE
201715_s_at	0.835	0.767	0.297	-7.397101	0.0189	ACIN1	apoptotic chromatin condensation inducer 1	ACIN1	apoptotic chromatin condensation inducer 1	FALSE
208335_s_at	4.03e-20	7.94e-22	12.7	39.112132	3.39	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FALSE
206887_at	0.699	0.599	-0.528	-7.301268	-0.0248	ACKR2	atypical chemokine receptor 2	ACKR2	atypical chemokine receptor 2	FALSE
212977_at	0.00172	0.000595	-3.56	-1.470885	-0.933	ACKR3	atypical chemokine receptor 3	ACKR3	atypical chemokine receptor 3	FALSE
220351_at	1.36e-24	1.25e-26	15.1	50.119477	1.91	ACKR4	atypical chemokine receptor 4	ACKR4	atypical chemokine receptor 4	FALSE
210337_s_at	5.26e-11	5.08e-12	-7.94	16.666296	-0.992	ACLY	ATP citrate lyase	ACLY	ATP citrate lyase	FALSE
230602_at	0.412	0.3	1.04	-6.896447	0.0388	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	FALSE
207071_s_at	0.101	0.0556	1.94	-5.585322	0.206	ACO1	aconitase 1	ACO1	aconitase 1	FALSE
200793_s_at	1.99e-07	3.44e-08	-6.03	7.96786	-0.57	ACO2	aconitase 2	ACO2	aconitase 2	FALSE
240287_at	0.356	0.25	-1.16	-6.771363	-0.0568	ACOD1	aconitate decarboxylase 1	ACOD1	aconitate decarboxylase 1	FALSE
202982_s_at	1.29e-06	2.53e-07	5.57	6.014527	0.728	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2	ACOT2	acyl-CoA thioesterase 2	FALSE
214763_at	9.04e-07	1.73e-07	-5.66	6.383783	-0.521	ACOT11	acyl-CoA thioesterase 11	ACOT11	acyl-CoA thioesterase 11	FALSE
238160_at	0.968	0.952	0.0609	-7.439659	0.00194	ACOT12	acyl-CoA thioesterase 12	ACOT12	acyl-CoA thioesterase 12	FALSE
204565_at	0.108	0.0602	-1.9	-5.652871	-0.215	ACOT13	acyl-CoA thioesterase 13	ACOT13	acyl-CoA thioesterase 13	FALSE
229534_at	1.53e-05	3.62e-06	4.93	3.421634	0.675	ACOT4	acyl-CoA thioesterase 4	ACOT4	acyl-CoA thioesterase 4	FALSE
241949_at	0.413	0.3	1.04	-6.898242	0.0335	ACOT6	acyl-CoA thioesterase 6	ACOT6	acyl-CoA thioesterase 6	FALSE
215728_s_at	3.21e-12	2.56e-13	-8.56	19.62688	-0.874	ACOT7	acyl-CoA thioesterase 7	ACOT7	acyl-CoA thioesterase 7	FALSE
