Updated.gene.symbol	logFC	P.Value
ZEB1	0.5971626	0.000133
RPL23AP64	0.5957202	0.000354
LOC112268254	0.5944913	0.000121
ASPDH	0.5934025	6.97e-05
LOC105373945	0.5931905	0.000237
STRCP1	0.5877655	5.67e-05
LOC107984988	0.5871584	0.000295
MIR4492	0.5866101	0.000298
LOC105378571	0.5864666	3.89e-06
BRPF3-AS1	0.5854345	0.000122
SNORD57	0.5853975	2.14e-05
SEMA6A	0.5849978	0.000186
LOC105374838	0.5844888	9.7e-06
LOC105370542	0.5840864	3.75e-05
LOC107986432	0.581341	0.000209
UBE2Q2P1	0.5740153	0.000229
EFCAB6-DT	0.5730662	2.4e-06
CHRM5	0.5722269	3.35e-05
LOC107986197	0.5721329	0.000149
AOC2	0.5710839	2.49e-05
FDPSP2	0.5700344	0.00022
LOC107984847	0.5699713	2.58e-05
LOC105377867	0.5695323	0.000295
LOC105377771	0.5657145	1.32e-05
LOC107984270	0.5656936	8.24e-05
MSS51	0.5617088	9.08e-06
BTBD19	0.5612322	0.000219
EFCC1	0.5609165	1.45e-08
BMS1P1	0.5554609	0.000214
LOC102723533	0.5529521	0.000202
LOC101928055	0.5519855	8.95e-06
CHP1P2	0.5495361	4.13e-05
IL3RA	0.5492672	0.000176
ZNF273	0.5488755	0.00013
LOC105370436	0.5487394	1.86e-05
LOC107985322	0.5485925	8.9e-05
MIR631	0.5484424	2.07e-05
LOC101930307	0.5472506	5.67e-06
INE1	0.5468002	3.45e-05
BMP8A	0.5460012	3.99e-05
LY6G5B	0.5436505	6.21e-06
CCR7	0.5424829	3.43e-05
RSKR	0.5412676	1.35e-05
LRP5L	0.5379639	6.12e-06
L3MBTL1	0.5363593	1.31e-05
PCP2	0.535712	0.000163
LOC105372380	0.5348888	3.59e-06
SLFNL1	0.5305946	0.000117
HIGD1C	0.5294818	9.04e-05
AXDND1	0.5227876	1.77e-05
LOC101927040	0.5205066	6.66e-05
LOC107984220	0.5191109	1.1e-05
LOC101929356	0.5187021	7.93e-05
KCNIP2	0.5184079	4.04e-05
LOC101928556	0.5179512	7.66e-05
LOC102723566	0.5173809	8.77e-05
LOC107986785	0.5173634	8.22e-05
AGAP10P	0.515468	0.000103
LINC02887	0.5108478	0.000109
UBAP1L	0.5051052	4.15e-05
EPCIP	0.5041506	5.75e-05
PRKCZ-AS1	0.500921	1.71e-05
LOC107985355	0.5008977	2.68e-05
CLIP3	0.4984068	7.15e-07
LOC107984421	0.4918322	9.73e-06
ANKRD23	0.4913375	1.28e-06
SYT15	0.4860302	4.2e-06
NNAT	0.4819778	8.28e-06
LOC107986556	0.481347	4.24e-05
AVIL	0.480174	1.52e-05
LENG8	0.4795576	5.33e-05
LINC01347	0.4760813	3.56e-05
LOC107985404	0.4750583	5.95e-05
LOC100128770	0.4693139	1.69e-06
ZNF473	0.4692097	1.22e-05
LOC100996660	0.4671865	2.07e-06
LOC107983998	0.4536698	2.38e-06
CSAD	0.4520952	2.77e-05
LOC644215	0.4362694	5.92e-06
TSSK3	0.4349217	7.18e-06
ECHDC2	0.4338237	7.44e-06
KIFC3	0.4282397	1.3e-05
CCDC183-AS1	0.4237881	6.99e-06
HERC2P9	0.4134475	2.78e-06
LOC101928824	0.4055289	1.82e-06
TMEM198B	0.3953649	7.46e-06
SRRM2	0.3907259	8.65e-07
LOC107984485	0.3854732	6.67e-07
PXK	0.3450617	2.08e-07
CD27	0.27198	2.85e-08
